CODGEO;NB_E101;NB_E102;NB_E107;NB_E108;NB_E109;NB_G101;NB_G102;NB_G103;NB_G104
01173;3;0;0;0;0;4;3;1;2
01174;0;0;0;0;0;0;1;0;0
01175;0;0;0;0;0;0;1;0;0
01177;0;0;0;0;0;0;0;0;0
01179;0;0;0;0;0;0;0;0;0
01180;0;0;0;0;0;0;0;0;0
01181;0;0;0;0;0;0;0;0;0
01183;0;0;0;0;0;1;0;0;0
01184;1;0;0;0;0;0;0;1;0
01185;4;0;0;0;0;0;3;2;2
01187;0;0;0;0;0;0;1;1;2
01188;0;0;0;0;0;0;0;0;0
01189;0;0;0;0;0;0;0;0;0
01190;0;0;0;0;0;0;0;0;0
01191;0;0;0;0;0;0;0;0;0
01192;0;0;0;0;0;0;0;0;2
01193;1;0;0;0;0;0;0;0;0
01194;9;0;0;0;0;0;0;0;0
01195;2;0;0;0;0;1;1;0;0
01196;0;0;0;0;0;0;0;0;0
01197;0;0;0;0;0;0;0;1;0
01198;0;0;0;0;0;0;0;0;0
01199;1;0;0;0;0;0;0;0;2
01200;0;0;0;0;0;0;0;0;0
01202;4;0;0;0;0;1;1;0;0
01203;0;0;0;0;0;0;0;0;0
01204;1;0;0;0;0;0;0;0;0
01206;0;0;0;0;0;0;0;0;0
01207;0;0;0;0;0;0;0;0;0
01208;0;0;0;0;0;0;1;0;0
01209;1;0;0;0;0;0;0;0;0
01210;0;0;0;0;0;0;1;0;1
01211;0;0;0;0;0;0;0;0;0
01212;0;0;0;0;0;0;0;0;0
01213;0;0;0;0;0;0;0;0;0
01214;0;0;0;0;0;0;0;0;0
01215;0;0;0;0;0;0;0;0;0
01216;1;0;0;0;0;0;0;0;1
01219;0;0;0;0;0;0;0;0;0
01224;3;0;0;0;0;0;1;0;0
01225;0;0;0;0;0;0;0;0;0
01227;0;0;0;0;0;0;0;0;0
01228;0;0;0;0;0;0;1;0;0
01229;0;0;0;0;0;0;1;1;0
01230;0;0;0;0;0;0;0;1;0
01231;1;0;0;0;0;0;0;0;0
01232;0;0;0;0;0;0;0;0;0
01233;0;0;0;0;0;0;0;0;0
01234;0;0;0;0;0;0;0;0;0
01235;0;0;0;0;1;0;0;0;0
01236;0;0;0;0;0;0;0;0;0
01237;2;0;0;0;0;0;0;0;0
01238;1;0;0;0;0;1;2;0;0
01239;2;0;0;0;0;0;0;2;0
01240;0;0;0;0;0;0;1;1;0
01241;0;0;0;0;0;0;0;1;0
01242;0;0;0;0;0;0;0;0;0
01243;0;0;0;0;0;0;0;1;0
01244;6;0;0;1;0;3;1;0;2
01245;0;0;0;0;0;0;0;0;0
01246;0;0;0;0;1;0;0;0;1
01247;0;0;0;0;0;0;3;0;2
01248;2;0;0;0;1;1;0;0;1
01249;12;0;0;2;0;0;1;0;3
01250;0;0;0;0;0;0;0;0;1
01252;0;0;0;0;0;0;0;0;0
01254;0;0;0;0;0;0;2;0;0
01255;0;0;0;0;0;0;1;0;0
01257;0;0;0;0;0;0;0;0;0
01258;1;0;0;0;0;0;0;0;0
01259;0;0;0;0;0;0;0;0;0
01260;0;0;0;0;0;0;0;0;0
01261;0;0;0;0;0;0;1;0;0
01262;7;0;0;1;0;1;1;0;3
01263;3;0;0;0;0;1;1;1;0
01264;1;0;0;0;0;0;0;0;0
01265;3;0;0;0;0;0;1;0;0
01266;1;0;0;0;0;0;1;0;1
01267;0;0;0;0;1;0;0;0;0
01268;0;0;0;0;0;0;0;1;0
01269;1;0;0;0;0;0;1;1;3
01272;2;0;0;0;0;0;0;0;1
01273;0;0;0;0;0;0;1;0;1
01274;0;0;0;0;0;0;0;0;0
01275;2;0;0;0;0;0;0;0;0
01276;2;0;0;0;0;0;0;0;0
01277;0;0;0;0;0;0;0;0;0
01279;0;0;0;0;0;0;0;0;0
01280;1;0;0;0;0;0;0;0;0
01281;3;0;0;0;0;0;1;0;1
01282;0;0;0;0;0;0;0;0;0
01283;8;0;0;1;0;5;4;0;2
01284;1;0;0;0;0;0;0;0;0
01285;1;0;0;0;0;0;0;1;0
01286;1;0;0;0;0;0;0;0;0
01288;1;0;0;0;0;0;1;0;0
01289;3;0;0;0;0;0;0;0;2
01290;0;0;0;0;0;0;2;0;1
01291;0;0;0;0;0;0;0;0;0
01293;0;0;0;0;0;0;0;0;0
01294;1;0;0;0;0;0;0;0;0
01295;0;0;0;0;0;0;0;0;0
01296;0;0;0;0;0;0;0;0;0
01297;0;0;0;0;0;0;0;0;0
01298;0;0;0;0;0;0;0;0;0
01299;0;0;0;0;0;0;0;0;0
01301;1;0;0;0;1;1;1;0;0
01302;0;0;0;0;0;0;0;0;0
01303;1;0;0;0;0;0;1;1;1
01304;0;0;0;0;1;0;1;1;1
01305;2;0;0;0;0;2;2;1;1
01306;1;0;0;0;0;0;0;0;0
01307;0;0;0;0;0;0;0;1;0
01308;0;0;0;0;1;0;0;0;0
01309;0;0;0;0;0;0;0;0;0
01310;0;0;0;0;0;0;0;0;0
01311;0;0;0;0;0;0;0;0;0
01313;2;0;0;0;0;0;1;0;1
01314;2;0;0;0;0;0;0;1;0
01317;0;0;0;0;0;0;0;0;0
01318;1;0;0;0;0;0;0;0;0
01319;1;0;0;0;0;1;1;1;0
01320;4;0;0;0;0;0;3;0;0
01321;2;0;0;0;0;0;0;0;0
01322;1;0;0;0;0;0;1;0;0
01323;0;0;0;0;0;0;0;1;0
01325;0;0;0;0;0;0;0;0;0
01328;0;0;0;0;0;0;0;0;0
01329;0;0;0;0;0;0;0;0;0
01330;0;0;0;0;0;0;1;0;0
01331;0;0;0;0;0;0;0;0;0
01332;0;0;0;0;0;0;0;0;0
01333;1;0;0;1;0;0;0;0;0
01334;0;0;0;0;0;0;0;0;0
01335;0;0;0;0;0;0;0;0;0
01336;0;0;0;0;0;0;0;0;0
01337;0;0;0;0;0;0;0;0;0
01338;0;0;0;0;0;0;0;0;1
01339;3;0;0;0;0;0;0;0;0
01342;0;0;0;0;0;0;1;0;0
01343;1;0;0;0;0;0;0;0;0
01344;4;0;0;0;0;1;0;0;0
01345;0;0;0;0;0;1;0;0;0
01346;1;0;0;0;0;0;0;0;0
01347;1;0;0;0;0;2;0;0;0
01348;1;0;0;0;0;0;0;2;0
01349;2;0;0;0;0;0;0;0;0
01350;1;0;0;0;0;0;0;1;1
01351;1;0;0;0;0;0;0;0;0
01352;0;0;0;0;0;0;0;0;0
01353;1;0;0;0;0;0;0;0;0
01354;8;0;0;0;0;0;5;0;1
01355;0;0;0;0;0;0;0;0;0
01356;0;0;0;0;0;0;0;0;0
01357;0;0;0;0;0;0;1;0;0
01358;0;0;0;0;0;0;0;0;0
01359;0;0;0;0;0;0;0;0;0
01360;0;0;0;0;0;0;0;0;0
01361;2;0;0;0;0;0;0;1;0
01362;0;0;0;0;0;0;0;0;0
01363;0;0;0;0;0;0;0;0;0
01364;0;0;0;0;0;0;0;0;0
01365;0;0;0;0;0;0;0;0;0
01366;1;0;0;0;0;0;1;0;0
01367;2;0;0;0;0;0;0;0;0
01368;0;0;0;0;0;0;0;0;0
01369;0;0;0;0;0;0;0;0;0
01370;0;0;0;0;0;0;0;0;0
01371;1;0;0;0;1;0;0;0;0
01372;0;0;0;0;0;0;0;0;0
01373;2;0;0;0;0;0;0;0;0
01374;0;0;0;0;1;0;0;0;0
01375;0;0;0;0;0;0;0;0;1
01376;10;0;0;1;0;0;1;0;0
01378;2;0;0;0;0;1;0;2;0
01379;2;0;0;0;0;0;0;0;0
01380;0;0;0;0;0;0;0;1;0
01381;0;0;0;0;0;0;0;1;0
01382;0;0;0;0;0;0;0;0;0
01383;1;0;0;0;1;0;1;1;1
01384;2;0;0;0;1;0;1;1;1
01385;0;0;0;0;0;0;0;0;0
01386;1;0;0;0;0;1;0;0;0
01387;0;0;0;0;0;0;0;0;0
01388;0;0;0;0;0;0;0;0;1
01389;0;0;0;0;0;0;0;0;0
01390;1;0;0;0;0;0;1;0;1
01391;0;0;0;0;0;0;0;0;0
01392;0;0;0;0;0;0;1;0;0
01393;1;0;0;0;0;0;0;1;0
01396;1;0;0;0;0;0;0;0;0
01397;1;0;0;0;0;0;0;0;0
01398;0;0;0;0;0;0;1;0;0
01399;1;0;0;0;0;0;2;0;0
01400;0;0;0;0;0;0;0;0;0
01401;0;0;0;0;0;0;0;0;0
01402;0;0;0;0;0;0;0;0;0
01403;0;0;0;0;0;0;0;1;0
01404;0;0;0;0;0;0;0;0;0
01405;0;0;0;0;1;0;0;0;0
01406;0;0;0;0;0;0;0;0;0
01407;0;0;0;0;0;0;1;1;0
01408;0;0;0;0;1;0;1;1;0
01410;0;0;0;0;0;0;0;0;0
01411;0;0;0;0;0;0;0;0;0
01412;0;0;0;0;0;0;0;0;0
01415;0;0;0;0;0;0;0;0;0
01416;0;0;0;0;1;0;0;0;0
01418;0;0;0;0;0;0;0;0;0
01419;1;0;0;0;0;1;1;0;0
01420;0;0;0;0;0;0;0;0;2
01421;0;0;0;0;0;0;0;0;0
01422;0;0;0;0;0;0;0;0;0
01423;1;0;0;0;0;0;0;0;0
01424;3;0;0;0;0;0;0;0;0
01425;0;0;0;0;0;0;0;0;0
01426;1;0;0;0;0;0;1;1;0
01427;4;0;0;0;0;0;1;1;2
01428;0;0;0;0;0;0;0;0;0
01429;0;0;0;0;0;0;0;0;0
01430;2;0;0;0;0;0;0;0;0
01431;0;0;0;0;0;0;0;0;1
01432;0;0;0;0;0;0;0;0;0
01433;0;0;0;0;0;0;0;0;0
01434;0;0;0;0;0;0;0;0;0
01435;1;0;0;0;0;0;0;0;0
01436;0;0;0;0;0;0;0;0;0
01437;0;0;0;0;0;0;0;0;0
01439;0;0;0;0;0;0;0;0;0
01441;0;0;0;0;0;0;0;0;0
01443;2;0;0;1;0;0;0;2;0
01444;0;0;0;0;0;0;2;0;0
01445;0;0;0;0;0;0;1;0;0
01446;2;0;0;0;0;0;0;0;0
01447;0;0;0;0;1;0;0;0;0
01448;0;0;0;0;0;0;0;0;0
01449;0;0;0;0;0;0;1;0;0
01450;3;0;0;0;0;0;1;1;0
01451;4;0;0;0;0;0;3;0;0
01452;0;0;0;0;1;0;0;0;1
01453;1;0;0;0;0;0;0;0;0
01454;2;0;0;0;0;0;0;0;0
01456;1;0;0;0;0;0;0;0;0
01457;2;0;0;0;1;0;3;1;1
02001;0;0;0;0;0;0;0;0;0
02002;0;0;0;0;0;0;0;0;0
02003;0;0;0;0;0;0;0;0;0
02004;0;0;0;0;0;0;0;0;0
02005;0;0;0;0;0;0;0;0;0
02006;0;0;0;0;0;0;0;0;0
02007;0;0;0;0;0;0;0;1;0
02008;0;0;0;0;0;0;0;0;0
02009;0;0;0;0;0;0;0;0;0
02010;0;0;0;0;0;0;0;0;0
02011;0;0;0;0;0;0;0;0;0
02012;0;0;0;0;0;0;0;0;0
02013;0;0;0;0;1;0;0;0;0
02014;0;0;0;0;0;0;0;0;0
02015;0;0;0;0;0;0;0;0;0
02016;0;0;0;0;0;0;0;0;0
02017;0;0;0;0;0;0;0;0;0
02018;1;0;0;0;0;0;0;0;0
02019;0;0;0;0;0;0;0;0;0
02020;0;0;0;0;0;0;0;0;0
02021;0;0;0;0;0;0;0;0;0
02022;0;0;0;0;0;0;0;0;0
02023;0;0;0;0;0;0;0;0;0
02024;0;0;0;0;0;0;0;0;0
02025;0;0;0;0;0;0;0;0;0
02027;0;0;0;0;0;0;0;0;0
02028;1;0;0;0;0;0;0;0;0
02029;0;0;0;0;0;0;0;0;0
02030;1;0;0;0;0;0;0;0;0
02031;0;0;0;0;0;0;0;0;0
02032;0;0;0;0;0;0;0;0;0
02033;0;0;0;0;0;0;0;0;0
02034;0;0;0;0;0;0;0;0;0
02035;0;0;0;0;0;0;0;0;0
02036;0;0;0;0;0;0;0;0;0
02037;0;0;0;0;0;0;0;0;0
02038;0;0;0;0;0;0;0;0;0
02039;0;0;0;0;0;0;0;0;0
02040;0;0;0;0;0;0;0;0;0
02041;1;0;0;0;0;0;0;0;0
02042;0;0;0;0;0;0;0;0;0
02043;0;0;0;0;0;0;0;0;0
02044;0;0;0;0;0;0;0;0;0
02046;0;0;0;0;1;0;0;0;0
02047;0;0;0;0;0;0;0;0;0
02048;0;0;0;0;0;0;0;0;0
02049;0;0;0;0;0;0;0;0;0
02050;0;0;0;0;0;0;0;0;0
02051;0;0;0;0;0;0;0;0;0
02052;0;0;0;0;0;0;0;0;0
02053;0;0;0;0;0;0;1;0;0
02054;1;0;0;0;0;0;0;0;0
02055;0;0;0;0;0;0;0;0;0
02056;0;0;0;0;0;0;0;0;0
02057;0;0;0;0;0;0;0;0;0
02058;0;0;0;0;0;0;0;0;0
02059;0;0;0;0;0;0;0;0;0
02060;0;0;0;0;0;0;0;0;0
02061;0;0;0;0;0;0;0;0;0
02062;0;0;0;0;0;0;0;0;0
02063;0;0;0;0;0;0;0;0;0
02064;3;0;0;0;0;0;0;0;0
02065;0;0;0;0;0;0;0;0;1
02066;0;0;0;0;0;0;0;0;0
02067;0;0;0;0;0;0;0;0;0
02068;0;0;0;0;0;0;0;0;0
02069;0;0;0;0;0;0;0;0;0
02070;0;0;0;0;0;0;0;0;0
02071;1;0;0;0;0;0;0;1;0
02072;0;0;0;0;0;0;0;0;0
02073;0;0;0;0;0;0;1;0;0
02074;0;0;0;0;0;0;0;0;0
02075;0;0;0;0;0;0;0;0;0
02076;0;0;0;0;0;0;0;0;0
02077;0;0;0;0;0;0;0;0;0
02078;0;0;0;0;0;0;0;0;0
02079;0;0;0;0;0;0;0;0;0
02080;0;0;0;0;0;0;0;0;0
02081;0;0;0;0;0;0;0;0;0
02082;0;0;0;0;0;0;0;0;0
02083;0;0;0;0;0;0;0;0;0
02084;0;0;0;0;0;0;0;0;0
02085;1;0;0;0;0;0;0;0;0
02086;1;0;0;0;0;0;0;0;0
02087;0;0;0;0;0;0;0;0;0
02088;0;0;0;0;0;0;0;0;0
02089;1;0;0;0;0;0;0;0;0
